asset_type,deal,source,source_url,listing_id,name,district,plz,city,state,rent_eur_m2_min,rent_eur_m2_max,price_eur,area_min_m2,area_max_m2,rooms,captured,notes
office,lease,JLL,https://gewerbeimmobilien.jll.de/bueros/k1807,jll-K1807,"Office property — Köln, Nippes (K1807)",Nippes,50733,Köln,Nordrhein-Westfalen,14,14,,148,3374,,2026-06-28,"JLL gewerbeimmobilien; for-rent; €/m²·mo; area=available-unit range; filter 1000-6000m², ≤€15/m²"
office,lease,JLL,https://gewerbeimmobilien.jll.de/bueros/k0027,jll-K0027,"Office property — Köln, Eil (K0027)",Eil,51145,Köln,Nordrhein-Westfalen,6.5,6.5,,160,2661,,2026-06-28,"JLL gewerbeimmobilien; for-rent; €/m²·mo; area=available-unit range; filter 1000-6000m², ≤€15/m²"
office,lease,JLL,https://gewerbeimmobilien.jll.de/bueros/k0109,jll-K0109,"Office property — Köln, Westhoven (K0109)",Westhoven,51149,Köln,Nordrhein-Westfalen,9.5,9.5,,111,12455,,2026-06-28,"JLL gewerbeimmobilien; for-rent; €/m²·mo; area=available-unit range; filter 1000-6000m², ≤€15/m²"
office,lease,JLL,https://gewerbeimmobilien.jll.de/bueros/k0019,jll-K0019,"Office property — Köln, Rodenkirchen (K0019)",Rodenkirchen,50996,Köln,Nordrhein-Westfalen,6,10,,701,1758,,2026-06-28,"JLL gewerbeimmobilien; for-rent; €/m²·mo; area=available-unit range; filter 1000-6000m², ≤€15/m²"
office,lease,JLL,https://gewerbeimmobilien.jll.de/bueros/k0051,jll-K0051,"Office property — Köln, Ossendorf (K0051)",Ossendorf,50829,Köln,Nordrhein-Westfalen,11.5,11.5,,395,4791,,2026-06-28,"JLL gewerbeimmobilien; for-rent; €/m²·mo; area=available-unit range; filter 1000-6000m², ≤€15/m²"
office,lease,JLL,https://gewerbeimmobilien.jll.de/bueros/k1349,jll-K1349,"Office property — Köln, Ehrenfeld (K1349)",Ehrenfeld,50825,Köln,Nordrhein-Westfalen,11.5,11.5,,723,6875,,2026-06-28,"JLL gewerbeimmobilien; for-rent; €/m²·mo; area=available-unit range; filter 1000-6000m², ≤€15/m²"
office,lease,JLL,https://gewerbeimmobilien.jll.de/bueros/k0046,jll-K0046,"Office property — Köln, Gremberghoven (K0046)",Gremberghoven,51149,Köln,Nordrhein-Westfalen,12.5,12.5,,191,5054,,2026-06-28,"JLL gewerbeimmobilien; for-rent; €/m²·mo; area=available-unit range; filter 1000-6000m², ≤€15/m²"
office,lease,JLL,https://gewerbeimmobilien.jll.de/bueros/k1681,jll-K1681,"Office property — Köln, Gremberghoven (K1681)",Gremberghoven,51149,Köln,Nordrhein-Westfalen,10.5,10.5,,572,1249,,2026-06-28,"JLL gewerbeimmobilien; for-rent; €/m²·mo; area=available-unit range; filter 1000-6000m², ≤€15/m²"
office,lease,JLL,https://gewerbeimmobilien.jll.de/bueros/k1763,jll-K1763,"Office property — Köln, Sürth (K1763)",Sürth,50999,Köln,Nordrhein-Westfalen,9.5,9.5,,350,1879,,2026-06-28,"JLL gewerbeimmobilien; for-rent; €/m²·mo; area=available-unit range; filter 1000-6000m², ≤€15/m²"
office,lease,JLL,https://gewerbeimmobilien.jll.de/bueros/k1679,jll-K1679,"Office property — Köln, Ossendorf (K1679)",Ossendorf,50829,Köln,Nordrhein-Westfalen,14.5,14.5,,250,1330,,2026-06-28,"JLL gewerbeimmobilien; for-rent; €/m²·mo; area=available-unit range; filter 1000-6000m², ≤€15/m²"
office,lease,JLL,https://gewerbeimmobilien.jll.de/bueros/k0298,jll-K0298,"Office property — Köln, Junkersdorf (K0298)",Junkersdorf,50858,Köln,Nordrhein-Westfalen,12.8,12.8,,400,3112,,2026-06-28,"JLL gewerbeimmobilien; for-rent; €/m²·mo; area=available-unit range; filter 1000-6000m², ≤€15/m²"
office,lease,JLL,https://gewerbeimmobilien.jll.de/bueros/k1521,jll-K1521,"Office property — Köln, Westhoven (K1521)",Westhoven,51149,Köln,Nordrhein-Westfalen,14.9,14.9,,203,2517,,2026-06-28,"JLL gewerbeimmobilien; for-rent; €/m²·mo; area=available-unit range; filter 1000-6000m², ≤€15/m²"
